time_sec,raw_deg
1783235407.6408558,-3.84
1783235407.6508338,-3.84
1783235407.6609879,-3.84
1783235407.6708925,-3.84
1783235407.6809864,-3.84
1783235407.6907616,-3.84
1783235407.7007856,-3.84
1783235407.710912,-3.84
1783235407.7209003,-3.84
1783235407.73092,-3.84
1783235407.740808,-3.84
1783235407.750721,-3.84
1783235407.7606778,-3.84
1783235407.77067,-3.84
1783235407.780986,-3.84
1783235407.790824,-3.84
1783235407.801001,-3.84
1783235407.811115,-3.84
1783235407.8209476,-3.84
1783235407.8307457,-3.84
1783235407.8407617,-3.84
1783235407.8510525,-3.84
1783235407.8608694,-3.84
1783235407.870727,-3.84
1783235407.8807063,-3.84
1783235407.890708,-3.84
1783235407.9006276,-3.84
1783235407.9106717,-3.84
1783235407.9206872,-3.84
1783235407.930673,-3.84
1783235407.9408581,-3.84
1783235407.950919,-3.84
1783235407.9607992,-3.84
1783235407.9707043,-3.84
1783235407.9808223,-3.84
1783235407.9907658,-3.84
1783235408.0007145,-3.84
1783235408.0163188,-3.84
1783235408.0207644,-3.84
1783235408.0306895,-3.84
1783235408.0408356,-3.84
1783235408.0508063,-3.84
1783235408.0608509,-3.84
1783235408.0708232,-3.84
1783235408.0807915,-3.84
1783235408.0908113,-3.84
1783235408.1008108,-3.84
1783235408.1108313,-3.84
1783235408.1207993,-3.84
1783235408.1308472,-3.84
1783235408.140807,-3.84
1783235408.1508334,-3.84
1783235408.160846,-3.84
1783235408.170805,-3.84
1783235408.1808035,-3.84
1783235408.19092,-3.84
1783235408.2009315,-3.84
1783235408.2108812,-3.84
1783235408.220935,-3.84
1783235408.2307124,-3.84
1783235408.240718,-3.84
1783235408.2507515,-3.84
1783235408.260864,-3.84
1783235408.270655,-3.84
1783235408.2806594,-3.84
1783235408.291136,-3.84
1783235408.3009372,-3.84
1783235408.3108828,-3.84
1783235408.3208177,-3.84
1783235408.3307958,-3.84
1783235408.3408303,-3.84
1783235408.3508134,-3.84
1783235408.3608453,-3.84
1783235408.3708081,-3.84
1783235408.3807917,-3.84
1783235408.3908124,-3.84
1783235408.4008265,-3.84
1783235408.4107325,-3.84
1783235408.4209578,-3.84
1783235408.431116,-3.84
1783235408.4407804,-3.84
1783235408.4506853,-3.84
1783235408.460827,-3.84
1783235408.4706926,-3.84
1783235408.4808853,-3.84
1783235408.4907088,-3.84
1783235408.5007207,-3.84
1783235408.5107505,-3.84
1783235408.5207107,-3.84
1783235408.5306876,-3.84
1783235408.540789,-3.84
1783235408.5507295,-3.84
1783235408.5607114,-3.84
1783235408.570884,-3.84
1783235408.580778,-3.84
1783235408.590814,-3.84
1783235408.6008122,-3.84
1783235408.6108007,-3.84
1783235408.6208084,-3.84
1783235408.6307743,-3.84
1783235408.6407816,-3.84
1783235408.650932,-3.84
1783235408.666304,-3.84
1783235408.6708648,-3.84
1783235408.6809568,-3.84
1783235408.690829,-3.84
1783235408.7008123,-3.84
1783235408.711017,-3.84
1783235408.7208972,-3.84
1783235408.730736,-3.84
1783235408.7407246,-3.84
1783235408.7507179,-3.84
1783235408.760758,-3.84
1783235408.7706828,-3.84
1783235408.7806904,-3.84
1783235408.7909987,-3.84
1783235408.8008041,-3.84
1783235408.8109152,-3.84
1783235408.820814,-3.84
1783235408.830875,-3.84
1783235408.8408215,-3.84
1783235408.85078,-3.84
1783235408.8607936,-3.84
1783235408.871058,-3.84
1783235408.8808322,-3.84
1783235408.8909378,-3.84
1783235408.9010277,-3.84
1783235408.9107873,-3.84
1783235408.9208052,-3.84
1783235408.9362772,-3.84
1783235408.940803,-3.84
1783235408.950909,-3.84
1783235408.960896,-3.84
1783235408.970758,-3.84
1783235408.9807234,-3.84
1783235408.9907486,-3.84
1783235409.0007305,-3.84
1783235409.010731,-3.84
1783235409.0207207,-3.84
1783235409.0307405,-3.84
1783235409.040711,-3.84
1783235409.050727,-3.84
1783235409.060687,-3.84
1783235409.070774,-3.84
1783235409.080883,-3.84
1783235409.0910866,-3.84
1783235409.100835,-3.84
1783235409.1107433,-3.84
1783235409.12087,-3.84
1783235409.1308992,-3.84
1783235409.1407578,-3.84
1783235409.150739,-3.84
1783235409.1607196,-3.84
1783235409.170763,-3.84
1783235409.180858,-3.84
1783235409.1907709,-3.84
1783235409.2008283,-3.84
1783235409.210898,-3.84
1783235409.2208714,-3.84
1783235409.2308042,-3.84
1783235409.240736,-3.84
1783235409.250722,-3.84
1783235409.26086,-3.84
1783235409.2711146,-3.84
1783235409.2810378,-3.84
1783235409.2909117,-3.84
1783235409.3008747,-3.84
1783235409.3108454,-3.84
1783235409.3208554,-3.84
1783235409.3308456,-3.84
1783235409.3408127,-3.84
1783235409.350802,-3.84
1783235409.3609684,-3.84
1783235409.3709075,-3.84
1783235409.380751,-3.84
1783235409.39071,-3.84
1783235409.4062846,-3.84
1783235409.4108627,-3.84
1783235409.4208384,-3.84
1783235409.4308813,-3.84
1783235409.4408147,-3.84
1783235409.4508076,-3.84
1783235409.460907,-3.84
1783235409.470864,-3.84
1783235409.4807625,-3.84
1783235409.490707,-3.84
1783235409.5008633,-3.84
1783235409.5107343,-3.83
1783235409.5207899,-3.83
1783235409.530802,-3.83
1783235409.5407364,-3.83
1783235409.5507495,-3.83
1783235409.5607362,-3.83
1783235409.5707228,-3.83
1783235409.5807426,-3.83
1783235409.5907276,-3.8200000000000003
1783235409.6007519,-3.8200000000000003
1783235409.6107042,-3.8200000000000003
1783235409.620744,-3.8200000000000003
1783235409.6361878,-3.8200000000000003
1783235409.640941,-3.8200000000000003
1783235409.6508825,-3.8200000000000003
1783235409.6608534,-3.81
1783235409.6708493,-3.81
1783235409.6807597,-3.81
1783235409.6907213,-3.81
1783235409.7007456,-3.81
1783235409.710897,-3.8000000000000003
1783235409.7209978,-3.79
1783235409.7307572,-3.79
1783235409.7407618,-3.79
1783235409.7507045,-3.79
1783235409.7607198,-3.79
1783235409.770713,-3.79
1783235409.7808363,-3.7800000000000002
1783235409.7908375,-3.7800000000000002
1783235409.8007624,-3.7800000000000002
1783235409.8107405,-3.7800000000000002
1783235409.8207498,-3.7800000000000002
1783235409.8308833,-3.7800000000000002
1783235409.8408554,-3.77
1783235409.8508203,-3.77
1783235409.866287,-3.77
1783235409.8708014,-3.77
1783235409.8808308,-3.77
1783235409.8908334,-3.77
1783235409.9007661,-3.77
1783235409.910902,-3.77
1783235409.9208407,-3.7600000000000002
1783235409.9308598,-3.7600000000000002
1783235409.9407892,-3.7600000000000002
1783235409.9508212,-3.7600000000000002
1783235409.9608567,-3.7600000000000002
1783235409.970874,-3.7600000000000002
1783235409.9807549,-3.7600000000000002
1783235409.9908128,-3.75
1783235410.0007844,-3.74
1783235410.0107327,-3.69
1783235410.0207481,-3.58
1783235410.0307446,-3.41
1783235410.0407443,-3.15
1783235410.0507202,-2.9
1783235410.060854,-2.62
1783235410.0708117,-2.24
1783235410.080893,-1.8900000000000001
1783235410.096242,-1.44
1783235410.1007836,-1.04
1783235410.1108348,-0.5700000000000001
1783235410.120794,-0.13
1783235410.1308084,0.28
1783235410.1408093,0.74
1783235410.1509495,1.12
1783235410.1607301,1.58
1783235410.170742,1.97
1783235410.1807141,2.41
1783235410.1907248,2.84
1783235410.2007492,3.27
1783235410.2108052,3.73
1783235410.2208273,4.12
1783235410.2307427,4.58
1783235410.2407556,4.95
1783235410.2507906,5.38
1783235410.2607431,5.73
1783235410.270729,6.15
1783235410.280865,6.5
1783235410.29083,6.93
1783235410.3008392,7.29
1783235410.3109424,7.73
1783235410.3208346,8.11
1783235410.330844,8.57
1783235410.3462722,8.950000000000001
1783235410.3509164,9.4
1783235410.3607821,9.77
1783235410.3708353,10.200000000000001
1783235410.3808835,10.57
1783235410.3908594,10.97
1783235410.400748,11.3
1783235410.4106805,11.69
1783235410.4207132,12.01
1783235410.4307199,12.39
1783235410.4407394,12.72
1783235410.4508023,13.11
1783235410.4609752,13.450000000000001
1783235410.470918,13.85
1783235410.4808416,14.18
1783235410.4907088,14.55
1783235410.500698,14.9
1783235410.5107431,15.26
1783235410.520716,15.63
1783235410.531008,15.94
1783235410.5408916,16.31
1783235410.5507789,16.62
1783235410.5662742,16.97
1783235410.576274,17.28
